INSERT INTO customer_Registration VALUES('650717-1471259')
INSERT INTO customer_Registration VALUES('501016-2686837')
INSERT INTO customer_Registration VALUES('780928-2782982')
INSERT INTO customer_Registration VALUES('721009-2065429')
INSERT INTO customer_Registration VALUES('790323-1210782')
INSERT INTO customer_Registration VALUES('631009-1660831')
INSERT INTO customer_Registration VALUES('520423-2268938')
INSERT INTO customer_Registration VALUES('760608-2423121')
INSERT INTO customer_Registration VALUES('780223-2854075')
INSERT INTO customer_Registration VALUES('580228-2911631')
INSERT INTO customer_Registration VALUES('630731-2258138')
INSERT INTO customer_Registration VALUES('530413-2466540')
INSERT INTO customer_Registration VALUES('600110-2139743')
INSERT INTO customer_Registration VALUES('590916-2471863')
INSERT INTO customer_Registration VALUES('720926-2672219')
INSERT INTO customer_Registration VALUES('711112-2050991')
INSERT INTO customer_Registration VALUES('530422-1775913')
INSERT INTO customer_Registration VALUES('660318-2980682')
INSERT INTO customer_Registration VALUES('520627-1554923')


INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(장미르, 58, 대한민국, hmsd456)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(양샘, 73, 일본, shinji765)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(이다운, 45, 중국, sijinping8797)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(신믿음, 51, 북한, desea3452)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(임한길, 44, 영국, harrykane2145)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(최다운, 51, 호주, hidink876)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(사공한결, 44, 미국, donovan235)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(제갈힘찬, 60, 뉴질랜드, follan9870)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(노우람, 71, 브라질, neymar321)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(임나라우람, 47, 괴테말라, malla8766)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(배나길, 60, 가나, gana346)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(서으뜸, 71, 우루과이, cavani97)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(노이슬, 47, 포르투칼, ronaldo087)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(예구슬, 45, 스페인, vila087)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(풍비, 65, 프랑스, sisocco0974)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(임구슬, 64, 대한민국, jumen0234)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(복조은, 51, 대한민국, nos762)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(황슬기, 52, 북한, jungeun21)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(최나리, 57, 스리랑카, hobinyo234)
INSERT INTO customer(customer_Name, customer_Age, customer_Nation, customer_ID)
VALUES(서벌찌, 72, 베트남, hangseo213)
